bike_id,brand_id,name,brand,segment,fuel_type,is_ev,price_inr,engine_cc,power_bhp,torque_nm,mileage_kmpl,weight_kg,top_speed_kmph,battery_kwh,range_km,launch_year,rating
BK056,BR12,Ather Rizta,Ather,Electric Scooter,Electric,True,110000,,6.0,26.0,,118,95,2.9,123.0,2024,4.2
BK057,BR03,TVS iQube,TVS,Electric Scooter,Electric,True,102000,,4.4,18.1,,118,82,3.04,100.0,2022,4.0
BK058,BR03,TVS iQube S,TVS,Electric Scooter,Electric,True,120000,,4.4,18.1,,118,82,3.04,115.0,2022,4.1
BK059,BR04,Bajaj Chetak,Bajaj,Electric Scooter,Electric,True,135000,,4.08,16.0,,116,73,3.2,123.0,2021,4.0
BK060,BR13,Simple One,Simple Energy,Electric Scooter,Electric,True,145000,,8.5,72.0,,110,105,4.8,212.0,2022,4.1
BK061,BR14,Revolt RV400,Revolt,Electric Bike,Electric,True,150000,,3.24,9.0,,108,85,3.24,150.0,2020,3.9
BK062,BR14,Revolt RV300,Revolt,Electric Bike,Electric,True,130000,,2.2,9.0,,98,80,2.7,130.0,2020,3.8
BK063,BR15,Ultraviolette F77,Ultraviolette,Electric Bike,Electric,True,308000,,29.5,95.0,,158,147,10.3,307.0,2023,4.5
BK064,BR16,Hero Optima,Hero Electric,Electric Scooter,Electric,True,72000,,1.06,,,96,45,1.44,82.0,2019,3.6
BK065,BR17,Ampere Primus,Greaves Electric,Electric Scooter,Electric,True,95000,,3.5,30.0,,108,72,2.1,105.0,2022,3.8
BK066,BR18,BGauss B8,BGauss,Electric Scooter,Electric,True,118000,,6.5,42.0,,112,85,3.0,110.0,2022,3.9
